城阙辅三秦	风烟望五津
风烟望五津	与君离别意
与君离别意	同是宦游人
同是宦游人	海内存知己
海内存知己	天涯若比邻
天涯若比邻	无为在歧路
无为在歧路	儿女共沾巾
长江悲已滞	万里念将归
万里念将归	况属高风晚
况属高风晚	山山黄叶飞
少小离家老大回	乡音无改鬓毛衰
乡音无改鬓毛衰	儿童相见不相识
儿童相见不相识	笑问客从何处来
孤鸿海上来	池潢不敢顾
池潢不敢顾	侧见双翠鸟
侧见双翠鸟	巢在三珠树
巢在三珠树	矫矫珍木巅
矫矫珍木巅	得无金丸惧
得无金丸惧	美服患人指
美服患人指	高明逼神恶
高明逼神恶	今我游冥冥
今我游冥冥	弋者何所慕
兰叶春葳蕤	桂华秋皎洁
桂华秋皎洁	欣欣此生意
欣欣此生意	自尔为佳节
自尔为佳节	谁知林栖者
谁知林栖者	闻风坐相悦
闻风坐相悦	草木有本心
草木有本心	何求美人折
幽人归独卧	滞虑洗孤清
滞虑洗孤清	持此谢高鸟
持此谢高鸟	因之传远情
因之传远情	日夕怀空意
日夕怀空意	人谁感至精
人谁感至精	飞沉理自隔
飞沉理自隔	何所慰吾诚
海上生明月	天涯共此时
天涯共此时	情人怨遥夜
情人怨遥夜	竟夕起相思
竟夕起相思	灭烛怜光满
灭烛怜光满	披衣觉露滋
披衣觉露滋	不堪盈手赠
不堪盈手赠	还寝梦佳期
夫子何为者	栖栖一代中
栖栖一代中	地犹鄹氏邑
地犹鄹氏邑	宅即鲁王宫
宅即鲁王宫	叹凤嗟身否
叹凤嗟身否	伤麟怨道穷
伤麟怨道穷	今看两楹奠
今看两楹奠	当与梦时同
白日依山尽	黄河入海流
黄河入海流	欲穷千里目
欲穷千里目	更上一层楼
黄河远上白云间	一片孤城万仞山
一片孤城万仞山	羌笛何须怨杨柳
羌笛何须怨杨柳	春风不度玉门关
春风不度玉门关	单于北望拂云堆
单于北望拂云堆	杀马登坛祭几回
杀马登坛祭几回	汉家天子今神武
汉家天子今神武	不肯和亲归去来
夕阳度西岭	群壑倏已螟
群壑倏已螟	松月生夜凉
松月生夜凉	风泉满清听
风泉满清听	樵人归欲尽
樵人归欲尽	烟鸟栖初定
烟鸟栖初定	之子期宿来
之子期宿来	孤琴候萝径
山寺钟鸣昼已昏	渔梁渡头争渡喧
渔梁渡头争渡喧	人随沙路向江村
人随沙路向江村	余亦乘舟归鹿门
余亦乘舟归鹿门	鹿门月照开烟树
鹿门月照开烟树	忽到庞公栖隐处
忽到庞公栖隐处	岩扉松径长寂寥
岩扉松径长寂寥	惟有幽人自来去
八月湖水平	涵虚混太清
涵虚混太清	气蒸云梦泽
气蒸云梦泽	波撼岳阳城
波撼岳阳城	欲济无舟楫
欲济无舟楫	端居耻圣明
端居耻圣明	坐观垂钓者
坐观垂钓者	徒有羡鱼情
一丘尝欲卧	三径苦无资
三径苦无资	北土非吾愿
北土非吾愿	东林怀我师
东林怀我师	黄金燃桂尽
黄金燃桂尽	壮志逐年衰
壮志逐年衰	日夕凉风至
日夕凉风至	闻蝉但益悲
寂寂竟何待	朝朝空自归
朝朝空自归	欲寻芳草去
欲寻芳草去	惜与故人违
惜与故人违	当路谁相假
当路谁相假	知音世所稀
知音世所稀	只应守寂寞
只应守寂寞	还掩故园扉
